,seq,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,chi,sharp,Jvar,Kvar,Lvar,Kamp,Var_Status
772,10561,19.589,0.0326,18.969,0.0792,18.641,0.0298,0.930,-0.611, 0.694, 0.933, 0.812,99.999,0
773,  250,18.762,0.0804,17.434,0.0261,16.989,0.0636,1.600, 1.257, 2.280, 0.909, 2.599,99.999,0
774,  545,18.447,0.1127,17.387,0.1009,16.833,0.0514,1.732, 1.077, 2.739, 0.880, 3.022,99.999,0
775,10588,19.379,0.0941,18.794,0.0871,18.515,0.0429,1.254, 3.509, 0.437, 0.936, 0.513,99.999,0
776, 6695,19.579,0.0886,18.252,0.1178,17.612,0.0145,1.133, 0.019, 1.088, 0.937, 1.277,99.999,0
777,15127,18.986,0.1924,18.260,0.0256,18.046,0.0531,1.203, 2.234, 1.687, 0.940, 1.988,99.999,0
778,11446,19.596,0.1625,19.265,0.1915,18.852,0.0632,0.997,-0.666, 1.318, 0.923, 1.525,99.999,0
779, 8492,19.262,0.0693,18.251,0.3801,17.476,0.0315,1.039,-0.256, 1.719, 0.956, 2.060,99.999,0
780,17212,19.033,0.1629,18.308,0.0340,18.150,0.0516,0.930,-0.324, 1.384, 0.930, 1.614,99.999,0
781,12762,18.105,0.0282,17.205,0.0669,16.781,0.0073,1.005, 0.153, 0.809, 0.981, 0.995,99.999,0
782,14182,19.349,0.1995,18.361,0.0251,18.143,0.0444,0.859,-0.130, 2.110, 0.981, 2.594,99.999,0
783, 2483,21.398,0.3390,19.360,0.0650,19.726,0.1410,0.903,-3.481, 1.265, 0.916, 1.452,99.999,0
784, 9820,19.843,0.0848,19.161,0.0989,18.909,0.0542,0.961,-1.267, 0.201, 0.957, 0.242,99.999,0
785,14659,19.550,0.2182,18.716,0.0409,18.560,0.0376,0.793, 0.233, 1.083, 0.942, 1.279,99.999,0
786,10437,18.129,0.0459,17.448,0.0518,16.852,0.0232,1.502, 0.750, 2.160, 0.912, 2.470,99.999,0
787, 8989,18.586,0.0474,17.942,0.0880,17.602,0.0361,1.337, 2.567, 1.104, 0.925, 1.280,99.999,0
788,13887,20.204,0.1521,19.023,0.0661,18.882,0.0376,0.763, 0.429, 0.420, 0.964, 0.507,99.999,0
789, 7270,20.046,0.0630,18.967,0.0661,18.841,0.0392,0.745,-2.223, 0.533, 0.961, 0.641,99.999,0
790, 1790,19.108,0.1517,18.061,0.0331,17.899,0.0216,1.188, 0.308, 0.582, 0.936, 0.683,99.999,0
791,10722,18.770,0.1637,18.034,0.0266,17.816,0.0345,1.478, 2.055, 1.688, 0.942, 1.994,99.999,0
792, 6624,20.695,0.1604,19.425,0.0562,19.399,0.0316,0.812, 0.022, 0.216, 0.971, 0.263,99.999,0
793,17724,19.118,0.0592,18.417,0.2035,18.021,0.0305,0.840, 0.594, 1.741, 0.981, 2.140,99.999,0
794, 4773,99.999,9.9999,19.575,0.0580,19.440,0.0630,0.799,-3.930, 0.275, 0.972, 0.335,99.999,0
795, 1445,20.215,0.1443,19.218,0.3054,19.169,0.0663,0.764,-1.968, 1.119, 0.977, 1.371,99.999,0
796, 9407,19.581,0.1173,18.888,0.1479,18.581,0.0348,0.889,-0.686, 0.914, 0.942, 1.079,99.999,0
797, 2210,18.888,0.1006,17.919,0.0543,17.757,0.0332,1.395, 1.709, 1.253, 0.968, 1.520,99.999,0
798, 8230,20.334,0.1795,19.782,0.0975,19.644,0.0624,0.995,-4.047, 0.099, 0.919, 0.114,99.999,0
